"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          63,      -5.378735886,      -5.374971459,       -5.25086297,      -4.548486094,      -11.83779999
          0,           0,          64,      -5.381687799,       -5.38027474,      -5.256877914,       -4.55305977,      -11.82629065
          0,           0,          65,        -5.3839156,      -5.384051701,      -5.260905795,      -4.556840725,      -11.81398526
          0,           0,          66,       -5.38555375,      -5.386595999,      -5.262023029,      -4.559976603,      -11.79984412
          0,           0,          67,      -5.387157023,      -5.388741173,      -5.260274486,      -4.563151747,      -11.78410424
          0,           0,          68,      -5.389500671,      -5.391600699,      -5.256662141,      -4.567358605,      -11.76738867
          0,           0,          69,      -5.393352152,      -5.396214723,      -5.252800408,      -4.573615315,       -11.7500132
          0,           0,          70,      -5.399309653,      -5.403209825,      -5.250475136,      -4.582729193,      -11.73434221
          0,           0,          71,      -5.407729934,      -5.412522311,      -5.251266174,      -4.595119591,      -11.71763008
          0,           0,          72,      -5.418687042,      -5.423222039,      -5.256303256,      -4.610660619,      -11.70189969
          0,           0,          73,      -5.431806579,      -5.433507278,      -5.266144654,       -4.62845748,      -11.68649154
          0,           0,          74,      -5.446057108,      -5.441031668,      -5.280725299,      -4.646668948,      -11.67027405
          0,           0,          75,      -5.460101393,      -5.444224394,      -5.299390102,      -4.662984491,      -11.65583939
          0,           0,          76,      -5.473175476,      -5.444360081,      -5.321069487,      -4.675870951,      -11.64055028
          0,           0,          77,      -5.485334538,      -5.445655394,      -5.344527567,      -4.685335806,      -11.62547681
          0,           0,          78,      -5.496948157,       -5.45273993,      -5.368599663,      -4.692598132,      -11.61134683
          0,           0,          79,      -5.508418123,      -5.468279003,      -5.392319155,      -4.699413425,      -11.59905791
          0,           0,          80,      -5.520337505,      -5.492052708,      -5.414784316,      -4.707569484,      -11.58774537
          0,           0,          81,      -5.533594933,      -5.520913041,      -5.434909894,      -4.718517066,      -11.57693764
          0,           0,          82,      -5.549115807,      -5.549525638,      -5.451564585,      -4.733058615,      -11.56475855
          0,           0,          83,      -5.567436241,      -5.572418264,      -5.464307197,      -4.751179809,      -11.55328881
          0,           0,          84,      -5.588445889,      -5.586690144,      -5.474031477,      -4.772097379,      -11.54203798
          0,           0,          85,      -5.611394623,      -5.593144076,      -5.482589064,      -4.794509377,      -11.53165415
          0,           0,          86,      -5.634080666,      -5.594607502,      -5.490909057,      -4.815968107,      -11.52187237
          0,           0,          87,      -5.656149536,      -5.594270391,      -5.500003941,      -4.836143026,      -11.51442642
          0,           0,          88,      -5.677567895,      -5.594033397,       -5.51002982,      -4.855177223,      -11.51079514
          0,           0,          89,      -5.698402088,      -5.594781156,      -5.520751883,      -4.873344791,      -11.50871943
          0,           0,          90,      -5.718642968,      -5.596849249,      -5.531976818,      -4.890808858,      -11.51549361
          0,           0,          91,      -5.738063001,      -5.600359403,      -5.543834834,      -4.907447638,      -11.52186822
          0,           0,          92,      -5.756137397,      -5.605412748,      -5.556901217,      -4.922791198,        -11.530978
          0,           0,          93,      -5.772033263,      -5.612132053,      -5.572182165,      -4.936035642,      -11.54214212
          0,           0,          94,      -5.784726418,      -5.620627307,      -5.591011538,      -4.946185047,      -11.55256666
          0,           0,          95,      -5.793304811,      -5.630951311,      -5.614893849,      -4.952382274,      -11.56029784
          0,           0,          96,       -5.79739004,      -5.643059003,      -5.645277211,      -4.954329334,       -11.5645405
          0,           0,          97,      -5.797484789,      -5.656822566,      -5.683151651,      -4.952612407,      -11.56391304
          0,           0,          98,      -5.795042491,      -5.672097523,      -5.728243194,      -4.948755123,      -11.55696924
          0,           0,          99,      -5.792187505,       -5.68886699,      -5.777473984,      -4.944942817,      -11.54410971
          0,           0,         100,      -5.791233478,      -5.707343747,      -5.822792378,      -4.943556379,      -11.52720118
          0,           0,         101,      -5.794206419,      -5.727938731,       -5.85112185,      -4.946709445,       -11.5094644
          0,           0,         102,      -5.802502027,      -5.751065821,      -5.852076308,      -4.955907221,      -11.49330988
          0,           0,         103,      -5.816685941,      -5.776825806,      -5.828719766,      -4.971831588,      -11.47946367
          0,           0,         104,      -5.836359089,      -5.804662052,      -5.794576394,      -4.994178714,      -11.46681626
