"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          63,      -6.681490331,      -6.785960725,      -6.981817224,      -6.149393875,      -11.10518098
          0,           0,          64,      -6.682444719,      -6.787034844,      -6.983627711,      -6.149911417,      -11.10530181
          0,           0,          65,      -6.683436155,      -6.788178398,      -6.985473731,       -6.15045198,      -11.10544084
          0,           0,          66,      -6.684464461,      -6.789396196,       -6.98734813,      -6.151016314,      -11.10559195
          0,           0,          67,      -6.685529128,      -6.790693177,      -6.989242182,       -6.15160502,      -11.10575296
          0,           0,          68,      -6.686629839,      -6.792074439,      -6.991145546,      -6.152219151,      -11.10592235
          0,           0,          69,      -6.687765727,      -6.793545126,      -6.993045904,      -6.152859513,      -11.10610055
          0,           0,          70,       -6.68893509,      -6.795110156,       -6.99492764,      -6.153526861,      -11.10628608
          0,           0,          71,      -6.690136543,      -6.796774293,      -6.996772711,      -6.154222401,      -11.10648235
          0,           0,          72,      -6.691366959,      -6.798542269,      -6.998559821,      -6.154946792,      -11.10669115
          0,           0,          73,      -6.692623481,      -6.800418432,      -7.000264331,      -6.155701391,      -11.10576531
          0,           0,          74,      -6.693909083,      -6.802406587,      -7.001858596,      -6.156488974,      -11.10700259
          0,           0,          75,      -6.695205957,      -6.804514425,      -7.003312789,        -6.1573046,      -11.10739012
          0,           0,          76,      -6.696513335,      -6.806744711,      -7.004590477,      -6.158154464,      -11.10766358
          0,           0,          77,      -6.697821469,      -6.809098607,      -7.005654707,      -6.159036258,      -11.10793659
          0,           0,          78,      -6.699121107,      -6.811578234,      -7.006465046,      -6.159951501,      -11.10823222
          0,           0,          79,      -6.700407417,      -6.814185224,      -7.006978633,      -6.160905422,      -11.10855417
          0,           0,          80,       -6.70167281,      -6.816919735,      -7.007150285,      -6.161903071,      -11.10890855
          0,           0,          81,      -6.702906432,      -6.819779314,      -7.006935986,      -6.162947814,      -11.10930562
          0,           0,          82,      -6.704096011,      -6.822759694,      -7.006293648,      -6.164043588,      -11.10976391
          0,           0,          83,      -6.705228893,      -6.825853665,      -7.005183656,       -6.16519557,      -11.11026483
          0,           0,          84,      -6.706292418,      -6.829051049,      -7.003574132,      -6.166410418,       -11.1108367
          0,           0,          85,      -6.707271338,      -6.832346578,      -7.001449277,      -6.167692224,      -11.11207928
          0,           0,          86,      -6.708147806,      -6.835819396,      -6.998905605,      -6.169013735,      -11.11341682
          0,           0,          87,      -6.708945881,      -6.839248155,      -6.996006517,       -6.17038109,      -11.11363813
