"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,          75,      -4.988867817,      -2.424505412,      -3.154345601,     -0.2907083308
          0,           0,          76,      -4.996173819,      -2.432183564,      -3.167561383,      -0.301800409
          0,           0,          77,      -5.002792594,      -2.439054989,      -3.180364255,     -0.3105586892
          0,           0,          78,      -5.011654458,       -2.44883947,      -3.194968441,     -0.3262430561
          0,           0,          79,      -5.018881659,      -2.456727862,      -3.208685265,     -0.3384134041
          0,           0,          80,      -5.025506409,       -2.46407671,      -3.221829757,     -0.3481977029
          0,           0,          81,      -5.034292724,      -2.474388202,      -3.236269848,     -0.3650282282
          0,           0,          82,      -5.041491492,      -2.482838304,      -3.249715668,     -0.3779144761
          0,           0,          83,      -5.048071519,      -2.490739018,      -3.262292667,     -0.3879522039
          0,           0,          84,      -5.056827204,      -2.501841604,      -3.276114723,     -0.4050506897
          0,           0,          85,      -5.063977259,      -2.511033047,      -3.288876521,     -0.4173425336
          0,           0,          86,      -5.070536487,      -2.519687707,      -3.300658385,     -0.4264063722
          0,           0,          87,      -5.079125175,      -2.531291944,      -3.313706447,     -0.4424319441
          0,           0,          88,      -5.086276252,      -2.541256815,      -3.325752277,     -0.4532765559
          0,           0,          89,      -5.091362616,      -2.548924974,       -3.33627964,     -0.4658052543
          0,           0,          90,        -5.0998752,      -2.561026227,      -3.349091023,     -0.4814589395
          0,           0,          91,       -5.10551267,      -2.569658223,      -3.360222081,     -0.4953832294
          0,           0,          92,      -5.112033088,      -2.579388858,       -3.37137078,     -0.5000638297
          0,           0,          93,      -5.119109654,      -2.589986359,      -3.383716429,     -0.5167893178
          0,           0,          94,      -5.126103851,      -2.600309231,      -3.395376489,     -0.5220075523
          0,           0,          95,      -5.131171084,      -2.608259496,      -3.405522413,      -0.528686434
          0,           0,          96,      -5.139634904,       -2.62029012,       -3.41837061,     -0.5376480452
          0,           0,          97,      -5.145198275,      -2.628673924,      -3.428921503,     -0.5466183253
          0,           0,          98,      -5.151597168,      -2.637838267,      -3.439135007,     -0.5462311396
          0,           0,          99,       -5.15855691,      -2.647568659,      -3.450736076,     -0.5602936012
          0,           0,         100,      -5.165443035,      -2.656954335,      -3.461293572,     -0.5628617572
          0,           0,         101,      -5.170516397,      -2.663953959,      -3.470604831,     -0.5687503034
          0,           0,         102,       -5.17877163,      -2.674553056,      -3.482102448,     -0.5772663496
          0,           0,         103,      -5.184313026,      -2.681633317,      -3.491880761,     -0.5869520985
          0,           0,         104,      -5.190668774,      -2.689396907,      -3.501160275,     -0.5876419608
          0,           0,         105,      -5.197634485,      -2.697716727,      -3.512125551,     -0.6035761801
          0,           0,         106,      -5.204475078,      -2.705617417,      -3.522002709,     -0.6082389022
          0,           0,         107,      -5.209546529,      -2.711145288,      -3.531059556,     -0.6163160917
          0,           0,         108,      -5.216175021,      -2.718291728,      -3.540314637,     -0.6209505822
          0,           0,         109,      -5.221696522,      -2.723977307,      -3.549769222,     -0.6330178836
          0,           0,         110,      -5.230175602,      -2.733170176,      -3.561211584,     -0.6477872722
          0,           0,         111,      -5.237285758,      -2.740339411,       -3.57184113,     -0.6561008007
          0,           0,         112,      -5.242546032,      -2.745208478,      -3.581689508,     -0.6665847043
          0,           0,         113,       -5.25086497,      -2.753855886,       -3.59322043,     -0.6802881944
          0,           0,         114,      -5.256515503,      -2.759153722,      -3.603725188,     -0.6938845749
          0,           0,         115,      -5.263034148,      -2.765324214,      -3.613693561,     -0.6994515875
          0,           0,         116,      -5.269909209,      -2.772226713,      -3.625406361,     -0.7177863698
          0,           0,         117,      -5.276882287,      -2.779041429,      -3.636269456,     -0.7257283178
          0,           0,         118,      -5.282071086,      -2.783664369,      -3.646424773,     -0.7361070141
          0,           0,         119,      -5.290196892,      -2.792181469,      -3.658406995,     -0.7476306862
          0,           0,         120,      -5.295807456,       -2.79747989,      -3.669280434,     -0.7603466652
          0,           0,         121,      -5.302317528,      -2.803826156,      -3.679564889,     -0.7640167951
          0,           0,         122,      -5.309071169,      -2.810920457,       -3.69147017,     -0.7796092953
          0,           0,         123,      -5.315938437,      -2.817954855,      -3.702193896,     -0.7847451456
          0,           0,         124,      -5.321108923,      -2.822870424,      -3.712214151,     -0.7942151773
          0,           0,         125,      -5.329104465,       -2.83173226,      -3.723966258,     -0.8009634929
          0,           0,         126,      -5.334626937,      -2.837363421,      -3.734324613,     -0.8125270177
          0,           0,         127,      -5.341034255,      -2.844016302,      -3.744008568,     -0.8132850372
          0,           0,         128,      -5.347627466,      -2.851359851,      -3.755327453,     -0.8273298259
          0,           0,         129,      -5.354368808,      -2.858680525,      -3.765311667,     -0.8293093196
          0,           0,         130,      -5.359522789,       -2.86393206,      -3.774757075,     -0.8387501957
          0,           0,         131,       -5.36727083,      -2.872926985,      -3.785405872,     -0.8427392176
          0,           0,         132,       -5.37274893,      -2.878775738,      -3.795277221,     -0.8548296484
          0,           0,         133,      -5.379057975,      -2.885595418,      -3.804082002,     -0.8539825972
          0,           0,         134,      -5.385519316,      -2.893043855,      -3.814738598,     -0.8691056116
          0,           0,         135,       -5.39215487,      -2.900446674,      -3.823845245,     -0.8701398609
          0,           0,         136,       -5.39726931,      -2.905801036,      -3.832879062,     -0.8810732206
          0,           0,         137,      -5.404857866,      -2.914770302,      -3.842567378,     -0.8853857296
          0,           0,         138,      -5.410273324,        -2.9206507,      -3.852221929,     -0.8990905438
          0,           0,         139,      -5.416512586,      -2.927461736,      -3.860362348,     -0.8988964699
          0,           0,         140,      -5.422855844,      -2.934867804,      -3.870807745,     -0.9162969988
          0,           0,         141,      -5.429407596,      -2.942233684,      -3.879467537,     -0.9184320056
          0,           0,         142,      -5.434468476,      -2.947587659,      -3.888636383,     -0.9311619036
          0,           0,         143,       -5.44193275,      -2.956490054,      -3.898070285,     -0.9373784845
          0,           0,         144,      -5.448461611,      -2.963739422,      -3.907034584,     -0.9419691232
          0,           0,         145,      -5.454617741,      -2.970378694,      -3.915445418,     -0.9458906087
          0,           0,         146,      -5.461970146,      -2.979047276,      -3.925222968,     -0.9562640427
          0,           0,         147,      -5.468369333,      -2.986210939,      -3.934487626,     -0.9644050514
          0,           0,         148,      -5.474441939,      -2.992896068,      -3.943357272,     -0.9716521218
          0,           0,         149,      -5.481666079,       -3.00160325,      -3.953799202,     -0.9844494037
          0,           0,         150,      -5.487962355,      -3.008836383,      -3.963932659,     -0.9942804817
          0,           0,         151,      -5.493911029,      -3.015573499,      -3.973847255,      -1.002487888
          0,           0,         152,      -5.501075455,       -3.02441079,      -3.985523832,      -1.015364086
          0,           0,         153,      -5.507241073,      -3.031758358,      -3.996703093,      -1.024648312
          0,           0,         154,      -5.513486688,      -3.039228536,       -4.00825648,      -1.033589305
          0,           0,         155,      -5.518192318,      -3.044740447,       -4.02034112,      -1.050854679
          0,           0,         156,      -5.525308047,      -3.053882373,      -4.032823088,      -1.059494798
          0,           0,         157,      -5.530290016,      -3.060035033,      -4.045631242,      -1.075769409
          0,           0,         158,      -5.536556987,       -3.06785962,      -4.057365267,      -1.077905451
          0,           0,         159,      -5.541307603,      -3.073631515,      -4.069602585,      -1.090324273
          0,           0,         160,      -5.548434187,      -3.082951734,      -4.081981276,      -1.092823865
          0,           0,         161,      -5.553435428,      -3.089256071,         -4.094367,      -1.105378282
          0,           0,         162,      -5.559692668,       -3.09721225,      -4.105119846,      -1.102832048
          0,           0,         163,      -5.564441469,      -3.103100945,      -4.116278843,      -1.113201199
          0,           0,         164,      -5.571518265,      -3.112490978,      -4.126911548,      -1.112092181
          0,           0,         165,      -5.576494269,      -3.118883036,      -4.137704104,      -1.123778941
          0,           0,         166,      -5.582688109,      -3.126921603,      -4.146218785,      -1.118991923
          0,           0,         167,      -5.587398032,      -3.132901031,      -4.155633136,      -1.129525771
          0,           0,         168,      -5.594389105,      -3.142332773,      -4.163854883,      -1.127177795
          0,           0,         169,      -5.599315638,      -3.148798259,      -4.172966981,      -1.139790809
          0,           0,         170,      -5.605425759,      -3.156900539,      -4.179163885,      -1.134847377
          0,           0,         171,      -5.610084425,      -3.162954976,      -4.187143127,      -1.146952393
          0,           0,         172,      -5.616931696,      -3.172340166,      -4.193190641,      -1.145331554
          0,           0,         173,      -5.621835133,      -3.178853984,      -4.201366217,      -1.159996996
          0,           0,         174,      -5.627540501,      -3.186494657,      -4.205479206,       -1.15510258
          0,           0,         175,       -5.63324549,      -3.194296581,      -4.214267527,      -1.173391536
          0,           0,         176,      -5.639174166,      -3.202325742,      -4.218453507,      -1.170955641
          0,           0,         177,      -5.644794083,      -3.209756382,      -4.222570949,      -1.171273246
          0,           0,         178,      -5.651468977,      -3.218812992,      -4.228105379,      -1.177564373
          0,           0,         179,      -5.657274653,      -3.226533936,      -4.233052463,      -1.183312521
          0,           0,         180,      -5.662792258,      -3.233808487,      -4.237647075,      -1.189636917
          0,           0,         181,      -5.669351723,      -3.242678767,      -4.243727545,      -1.201247821
          0,           0,         182,      -5.675053036,       -3.25023738,      -4.249474031,      -1.211444305
          0,           0,         183,      -5.680772121,      -3.257814763,      -4.255589199,      -1.222423924
          0,           0,         184,       -5.68648699,      -3.265382616,      -4.262192896,      -1.234115335
