"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          63,      -4.290994394,      -3.854542937,      -4.543005506,      -3.961050644,      -10.29625496
          0,           0,          64,        -4.3069566,      -3.873724753,      -4.558028559,       -3.98144108,      -10.29056944
          0,           0,          65,      -4.323222889,      -3.893706755,      -4.572515235,      -4.001876304,      -10.28501861
          0,           0,          66,      -4.339909007,      -3.914495488,      -4.586780691,      -4.022788632,      -10.27861716
          0,           0,          67,      -4.357156771,      -3.936119813,      -4.601395161,       -4.04477364,      -10.27636753
          0,           0,          68,      -4.375090763,      -3.958624318,      -4.617028701,      -4.068376081,      -10.27126589
          0,           0,          69,       -4.39378059,      -3.982052582,       -4.63425789,        -4.0938995,      -10.26915895
          0,           0,          70,      -4.413241675,      -4.006444695,      -4.653345913,      -4.121242678,      -10.27007614
          0,           0,          71,      -4.433456269,      -4.031828619,      -4.674166703,      -4.149961461,      -10.26887081
          0,           0,          72,      -4.454435664,      -4.058241124,      -4.696256424,      -4.179501876,      -10.27052031
          0,           0,          73,      -4.476241685,      -4.085729122,      -4.718949741,      -4.209342218,      -10.27353083
          0,           0,          74,      -4.498990876,      -4.114354866,      -4.741624201,       -4.23916944,      -10.27691539
          0,           0,          75,      -4.522829752,      -4.144198917,      -4.763889921,      -4.268813755,      -10.28648321
          0,           0,          76,      -4.547887227,      -4.175345572,      -4.785745315,      -4.298217427,      -10.30197252
          0,           0,          77,      -4.574244318,      -4.207873625,      -4.807538983,      -4.327257143,      -10.32225218
          0,           0,          78,      -4.601940112,      -4.241848917,       -4.82986765,      -4.355878831,      -10.34796464
          0,           0,          79,      -4.630988791,      -4.277311579,      -4.853313718,      -4.383965542,      -10.37680984
          0,           0,          80,      -4.661408994,      -4.314271389,      -4.878286973,      -4.411541968,      -10.40517705
          0,           0,          81,      -4.693225475,      -4.352703717,      -4.904885866,      -4.438676312,      -10.42992239
          0,           0,          82,      -4.726409377,      -4.392545788,      -4.932930737,      -4.465474331,       -10.4483973
          0,           0,          83,      -4.760743179,      -4.433670448,      -4.962100202,      -4.491815189,      -10.45835049
          0,           0,          84,      -4.795714571,      -4.475907112,      -4.992254499,      -4.517529059,       -10.4624445
          0,           0,          85,       -4.83038963,        -4.5190054,      -5.023576791,      -4.542257561,      -10.46615374
          0,           0,          86,      -4.861897211,      -4.560545456,      -5.055246852,      -4.564803821,      -10.46318378
          0,           0,          87,      -4.890152967,      -4.600478743,      -5.088276928,      -4.585705171,      -10.46702427
          0,           0,          88,      -4.915397312,       -4.63869458,       -5.12345384,      -4.605660076,      -10.46561449
          0,           0,          89,      -4.938289204,      -4.675090632,      -5.161119585,      -4.625320353,      -10.46707626
          0,           0,          90,      -4.959705541,      -4.709598547,      -5.201070306,      -4.645179363,      -10.46342419
          0,           0,          91,      -4.980458108,      -4.742179086,      -5.242576282,      -4.665502434,      -10.45531111
          0,           0,          92,      -5.001126138,      -4.772826653,      -5.284499848,      -4.686323523,      -10.44151177
          0,           0,          93,      -5.022017182,      -4.801576329,      -5.325477821,      -4.707470934,      -10.42484308
          0,           0,          94,      -5.043221852,      -4.828505316,      -5.364136597,      -4.728632585,      -10.41755552
          0,           0,          95,      -5.064703294,      -4.853733456,      -5.399292467,      -4.749438827,      -10.41760367
          0,           0,          96,      -5.086368697,      -4.877415935,      -5.430127359,      -4.769543749,      -10.42167725
          0,           0,          97,      -5.108101748,      -4.899748134,      -5.456323098,      -4.788677075,       -10.4287935
          0,           0,          98,      -5.129769122,      -4.920934503,      -5.478149581,      -4.806640887,      -10.43572934
          0,           0,          99,      -5.151211844,      -4.941163401,      -5.496447684,      -4.823285199,       -10.4439537
          0,           0,         100,      -5.172252618,      -4.960613379,      -5.512461378,      -4.838514148,      -10.44729721
          0,           0,         101,      -5.192902144,      -4.979830635,      -5.527872965,      -4.852366341,      -10.44510784
          0,           0,         102,      -5.212919214,      -4.998738004,      -5.543564332,      -4.864869297,      -10.43835126
          0,           0,         103,      -5.232209853,      -5.017365079,       -5.56020808,      -4.876229399,      -10.42623009
          0,           0,         104,      -5.250799572,      -5.035780232,      -5.577968445,      -4.886799816,      -10.40524892
          0,           0,         105,      -5.268806742,      -5.054054139,      -5.596377338,      -4.897026948,      -10.39478425
          0,           0,         106,      -5.286403021,      -5.072245258,      -5.614366672,      -4.907390708,      -10.38268167
          0,           0,         107,      -5.303768306,      -5.090393418,      -5.630478784,      -4.918335118,      -10.35491082
          0,           0,         108,      -5.321050088,      -5.108507212,      -5.643255841,      -4.930215726,      -10.34294733
          0,           0,         109,      -5.338333875,      -5.126558827,       -5.65172361,      -4.943263995,      -10.37241234
          0,           0,         110,       -5.35563046,      -5.144486473,      -5.655782647,      -4.957572645,       -10.3793001
          0,           0,         111,      -5.372878652,      -5.162197083,      -5.656263783,      -4.973092451,      -10.37748211
          0,           0,         112,      -5.389961912,      -5.179575177,      -5.654647567,      -4.989641169,      -10.37535801
          0,           0,         113,      -5.406759039,      -5.196500509,      -5.652632712,      -5.006966775,      -10.37215269
          0,           0,         114,      -5.423148971,      -5.212865275,      -5.651781561,      -5.024746528,      -10.36967122
          0,           0,         115,      -5.438992828,      -5.228598596,      -5.653287874,      -5.042520287,      -10.36814579
          0,           0,         116,      -5.454240679,      -5.243637607,      -5.657974073,      -5.059881109,      -10.36507126
          0,           0,         117,       -5.46891523,      -5.257951624,      -5.666337592,      -5.076510487,      -10.36219351
          0,           0,         118,      -5.483066921,      -5.271554885,       -5.67860387,      -5.092167327,      -10.35606153
          0,           0,         119,      -5.496764368,      -5.284505572,      -5.694785247,      -5.106722631,      -10.34529395
          0,           0,         120,      -5.510081781,      -5.296878471,      -5.714723603,      -5.120183343,      -10.33020718
          0,           0,         121,      -5.523090376,       -5.30875414,      -5.738110416,      -5.132706404,      -10.31120857
          0,           0,         122,      -5.535847275,      -5.320229779,      -5.764491542,      -5.144578825,      -10.28979983
          0,           0,         123,      -5.548386365,      -5.331400696,      -5.793253671,      -5.156148976,      -10.26708496
          0,           0,         124,      -5.560723264,      -5.342350007,      -5.823595681,      -5.167792704,      -10.24475584
          0,           0,         125,      -5.572861761,      -5.353138901,      -5.854500535,      -5.179866288,      -10.22346483
          0,           0,         126,      -5.584794781,      -5.363808988,      -5.884746457,      -5.192661655,      -10.20395084
          0,           0,         127,      -5.596507716,      -5.374379369,      -5.912992893,      -5.206372855,      -10.18646374
          0,           0,         128,      -5.607974578,      -5.384830069,      -5.937921252,      -5.221033549,       -10.1707563
          0,           0,         129,      -5.619158958,      -5.395112736,      -5.958607292,      -5.236515309,      -10.15639249
          0,           0,         130,      -5.630011458,      -5.405157701,      -5.974515952,      -5.252532837,      -10.14384322
          0,           0,         131,      -5.640467407,      -5.414882288,      -5.985748031,      -5.268603477,      -10.13248223
          0,           0,         132,      -5.650464401,      -5.424243676,      -5.993543726,       -5.28417734,      -10.12258782
          0,           0,         133,      -5.659959118,      -5.433133608,      -6.001989422,      -5.298650698,      -10.11301479
          0,           0,         134,      -5.668873789,      -5.441529742,      -6.007929887,      -5.311365617,      -10.10444488
          0,           0,         135,      -5.677203305,      -5.449439993,      -6.014234504,      -5.322063284,       -10.0952969
          0,           0,         136,      -5.684958784,      -5.456868855,      -6.021597852,      -5.330438538,      -10.08777038
