"Density","Eddy_Viscosity","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Omega","P_tot","Pressure","Pressure_Coefficient","Residual_Density","Residual_Energy","Residual_Momentum:0","Residual_Momentum:1","Residual_Momentum:2","Residual_Omega","Residual_TKE","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Turb_Kin_Energy","Velocity:0","Velocity:1","Velocity:2","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.000171185,1.335369859e-07,1.197732091,0,2.671909449e-08,1.599838138,1.000104308,7.94407315e-05,0,11.16014957,1.185941362,0.2790847421,0.00013376883,-7.992505361e-20,1.537957138e-19,-1.318453518e-19,7.209044636e-21,0,1.499090491e-17,6.747356585e-25,0,0,0,1.000068426,1.490037562e-06,0.999933064,7.94265361e-05,0,0,,0.02913488448,-4.199999809,0.02913488448,0
1.000120044,1.335299658e-07,1.197676539,0,2.671867172e-08,1.599886417,1.000073195,5.52488018e-05,0,11.15957165,1.185941482,0.2790647745,9.386560851e-05,3.468374254e-19,1.564754611e-18,1.267609828e-18,-4.960043463e-20,0,2.636608093e-17,1.819660914e-24,0,0,0,1.000048041,1.489958208e-06,0.9999530315,5.524187873e-05,0,0,,0.03156279027,-4.199999809,0.03156279027,0
1.000084043,1.335250204e-07,1.197637439,0,2.671837329e-08,1.599920511,1.00005126,3.814256706e-05,0,11.15905285,1.185941521,0.2790507376,6.574369036e-05,-4.33680869e-19,1.606461135e-19,1.642948097e-18,-3.609305926e-19,0,1.761171749e-17,1.420672818e-24,0,0,0,1.000033736,1.489887381e-06,0.9999670982,3.813927833e-05,0,0,,0.03399069607,-4.199999809,0.03399069607,0
1.000059724,1.335216666e-07,1.197610974,0,2.671816901e-08,1.599943399,1.000036359,2.643693369e-05,0,11.1585989,1.185941416,0.2790412009,4.668966722e-05,-4.33680869e-19,8.146324378e-19,-2.204546192e-19,-5.814490857e-19,0,3.269866799e-17,3.818679216e-24,0,0,0,1.000023961,1.489825763e-06,0.999976635,2.643530752e-05,0,0,,0.0364186056,-4.199999809,0.0364186056,0
1.000044227,1.335195492e-07,1.197594166,0,2.671804111e-08,1.599958181,1.000026941,1.874068766e-05,0,11.15822029,1.185941457,0.279035151,3.455733167e-05,-1.8574298e-19,4.058395464e-19,7.901003804e-19,-4.969814534e-20,0,2.676045749e-17,2.717191156e-24,0,0,0,1.000017762,1.489774604e-06,0.9999827147,1.873980182e-05,0,0,,0.03884651139,-4.199999809,0.03884651139,0
1.000032425,1.335179149e-07,1.197581291,0,2.671794341e-08,1.599969387,1.00001967,1.263426657e-05,0,11.15787888,1.185941507,0.2790305018,2.529415906e-05,0,-4.163184255e-19,1.600445593e-18,3.079237991e-19,0,1.936222026e-17,1.307590593e-24,0,0,0,1.000012994,1.489728675e-06,0.9999873042,1.263384274e-05,0,0,,0.04127441719,-4.199999809,0.04127441719,0
1.000024796,1.335168776e-07,1.197573066,0,2.671787946e-08,1.59997654,1.00001502,8.345591596e-06,0,11.1575861,1.185941533,0.2790275812,1.940042966e-05,0,-1.705351947e-18,1.225017678e-18,1.290591619e-19,0,1.520603308e-17,3.166785469e-25,0,0,0,1.000009894,1.489689225e-06,0.9999902844,8.345370588e-06,0,0,,0.04370232671,-4.199999809,0.04370232671,0
1.000020981,1.33515158e-07,1.197568774,0,2.671784749e-08,1.599979997,1.000012636,5.514115401e-06,0,11.15606403,1.185941243,0.2790260613,1.63892455e-05,1.606780245e-19,-2.31512592e-18,3.378097313e-19,2.62125316e-19,0,1.023546052e-18,-9.194070312e-25,0,0,0,1.000008345,1.489472425e-06,0.999991715,5.513996257e-06,0,0,,0.04613023251,-4.199999809,0.04613023251,0
1.000018835,1.335131117e-07,1.197566271,0,2.67178315e-08,1.599981785,1.000011206,3.36706421e-06,0,11.15396404,1.185940805,0.2790252268,1.473195607e-05,3.968245443e-19,-2.60586088e-18,-7.897754536e-19,5.417014029e-19,0,-1.786817657e-17,-2.270648355e-24,0,0,0,1.00000751,1.489172405e-06,0.9999923706,3.366999408e-06,0,0,,0.04855813831,-4.199999809,0.04855813831,0
1,1.335771458e-07,1.197546124,0,2.671767341e-08,1.600000024,1,2.033645918e-09,0,11.21775532,1.185941582,0.2790178657,7.241260036e-09,8.94828477e-20,6.7289535e-19,8.966370299e-20,-3.600517197e-20,0,-4.321780059e-18,9.209196104e-26,0,0,0,1,1.498435608e-06,1,2.033645918e-09,0,0,,0.05098604783,-4.199999809,0.05098604783,0
1,1.33583967e-07,1.197546124,0,2.671767341e-08,1.600000024,1,2.157589385e-11,0,11.22427559,1.185941582,0.2790178657,1.271171279e-09,-7.546723511e-20,4.488986141e-19,-1.092253613e-19,-2.089236639e-22,0,-5.731418246e-18,-8.089439234e-25,0,0,0,1,1.499383188e-06,1,2.157589385e-11,0,0,,0.05341395363,-4.199999809,0.05341395363,0
1,1.335780979e-07,1.197546124,0,2.671767341e-08,1.600000024,1,-5.294829505e-11,0,11.21859455,1.185941582,0.2790178657,2.477899885e-09,-1.398463128e-21,5.311569698e-19,1.555240302e-19,-8.607127698e-20,0,3.424696067e-18,8.218458914e-25,0,0,0,1,1.49855839e-06,1,-5.294829505e-11,0,0,,0.05584185943,-4.199999809,0.05584185943,0
1,1.335811817e-07,1.197546124,0,2.671767341e-08,1.600000024,1,6.064787561e-11,0,11.22157288,1.185941582,0.2790178657,1.752349821e-09,1.24811163e-19,-2.951146489e-19,-5.378315418e-19,9.315499648e-21,0,-3.644283569e-18,-4.344324551e-25,0,0,0,1,1.498990969e-06,1,6.064787561e-11,0,0,,0.05826976895,-4.199999809,0.05826976895,0
1,1.335800874e-07,1.197546124,0,2.671767341e-08,1.600000024,1,-6.573252359e-11,0,11.2205267,1.185941582,0.2790178657,1.962987772e-09,4.33680869e-19,4.030046433e-19,-8.464110108e-19,9.343676295e-21,0,-6.938893904e-18,-1.230303918e-24,0,0,0,1,1.498839083e-06,1,-6.573252359e-11,0,0,,0.06069767475,-4.199999809,0.06069767475,0
1,1.335790216e-07,1.197546124,0,2.671767341e-08,1.600000024,1,-4.483144758e-11,0,11.2194891,1.185941582,0.2790178657,2.20710672e-09,1.44835422e-19,-5.956278791e-20,-4.491916752e-20,6.446800125e-21,0,-4.634733504e-18,-8.279677971e-25,0,0,0,1,1.498688221e-06,1,-4.483144758e-11,0,0,,0.06312558055,-4.199999809,0.06312558055,0
1,1.335772026e-07,1.197546124,0,2.671767341e-08,1.600000024,1,5.084662292e-12,0,11.21772575,1.185941582,0.2790178657,2.544025879e-09,1.628976732e-19,-2.456786196e-20,1.918109573e-19,-1.721983846e-21,0,1.286070948e-18,4.115505831e-25,0,0,0,1,1.498432425e-06,1,5.084662292e-12,0,0,,0.06555348635,-4.199999809,0.06555348635,0
1,1.335787374e-07,1.197546124,0,2.671767341e-08,1.600000024,1,2.54153712e-11,0,11.21920776,1.185941582,0.2790178657,2.244656017e-09,0,-1.035182519e-18,-5.979559401e-19,-2.050568945e-20,0,-7.324861341e-18,-1.164255355e-24,0,0,0,1,1.498647521e-06,1,2.54153712e-11,0,0,,0.06798139215,-4.199999809,0.06798139215,0
1,1.335786379e-07,1.197546124,0,2.671767341e-08,1.600000024,1,-1.708757094e-11,0,11.21912289,1.185941582,0.2790178657,2.234865848e-09,-4.33680869e-19,1.626479164e-19,-1.024850154e-19,6.588345591e-20,0,1.713687611e-17,2.439747395e-24,0,0,0,1,1.498635243e-06,1,-1.708757094e-11,0,0,,0.07040930539,-4.199999809,0.07040930539,0
1,1.335770463e-07,1.197546124,0,2.671767341e-08,1.600000024,1,-7.432345711e-11,0,11.21758461,1.185941582,0.2790178657,2.566562296e-09,-3.769686683e-19,3.970858559e-20,-1.689872994e-19,-9.595547783e-20,0,6.485196505e-18,4.676752509e-25,0,0,0,1,1.498411848e-06,1,-7.432345711e-11,0,0,,0.07283721119,-4.199999809,0.07283721119,0
1,1.335748294e-07,1.197546124,0,2.671767341e-08,1.600000024,1,1.244693845e-11,0,11.2154417,1.185941582,0.2790178657,2.953954636e-09,-8.391044211e-20,4.939460948e-19,1.764504847e-19,8.2483478e-20,0,4.812014026e-18,1.147273547e-24,0,0,0,1,1.498100801e-06,1,1.244693845e-11,0,0,,0.07526511699,-4.199999809,0.07526511699,0
1,1.335766626e-07,1.197546124,0,2.671767341e-08,1.600000024,1,2.775597287e-11,0,11.21721745,1.185941582,0.2790178657,2.644946484e-09,-5.256425702e-19,-1.031120235e-18,-1.967679664e-19,3.936556089e-20,0,1.114403447e-17,2.306138813e-24,0,0,0,1,1.498358642e-06,1,2.775597287e-11,0,0,,0.07769302279,-4.199999809,0.07769302279,0
1,1.335764495e-07,1.197546124,0,2.671767341e-08,1.600000024,1,-4.692784009e-11,0,11.21700478,1.185941582,0.2790178657,2.690879519e-09,-7.026179657e-19,-1.327146566e-18,-4.862308261e-19,-1.037628608e-19,0,1.124188745e-17,1.183025413e-24,0,0,0,1,1.49832772e-06,1,-4.692784009e-11,0,0,,0.08012092859,-4.199999809,0.08012092859,0
1,1.335746447e-07,1.197546124,0,2.671767341e-08,1.600000024,1,-6.016013382e-11,0,11.21526432,1.185941582,0.2790178657,3.046591868e-09,-5.655583128e-20,-7.690272822e-19,-1.146602351e-19,-3.591066981e-20,0,1.809786601e-18,-3.956938627e-25,0,0,0,1,1.49807488e-06,1,-6.016013382e-11,0,0,,0.08254883438,-4.199999809,0.08254883438,0
1,1.335738915e-07,1.197546124,0,2.671767341e-08,1.600000024,1,-2.80775056e-11,0,11.21452522,1.185941582,0.2790178657,3.226126477e-09,-4.178355264e-19,-1.142805541e-18,8.696847713e-20,-2.378178673e-20,0,1.337073685e-17,2.360651468e-24,0,0,0,1,1.497967673e-06,1,-2.80775056e-11,0,0,,0.08497674763,-4.199999809,0.08497674763,0
1,1.335731525e-07,1.197546124,0,2.671767341e-08,1.600000024,1,-7.002983696e-12,0,11.21381378,1.185941582,0.2790178657,3.357894629e-09,-4.013898123e-20,-3.044412654e-19,-2.690226065e-19,1.499347837e-19,0,1.284447399e-18,-5.209445133e-25,0,0,0,1,1.497864446e-06,1,-7.002983696e-12,0,0,,0.08740465343,-4.199999809,0.08740465343,0
