"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          63,      -5.460334234,       -5.62313057,      -5.786015697,      -5.314423769,      -11.83366443
          0,           0,          64,      -5.469891625,      -5.643060928,      -5.802187273,      -5.326535043,      -11.83521314
          0,           0,          65,      -5.469029404,      -5.651458556,       -5.81306879,      -5.322352056,      -11.83650614
          0,           0,          66,      -5.483653044,      -5.667523926,      -5.841757036,      -5.340537346,      -11.83808137
          0,           0,          67,      -5.492875266,      -5.682676957,        -5.8632945,      -5.352147466,      -11.84017142
          0,           0,          68,      -5.493690954,      -5.687982878,      -5.872947301,      -5.349218235,      -11.84122392
          0,           0,          69,      -5.493599878,      -5.697262508,      -5.882908319,      -5.349901715,      -11.84248163
          0,           0,          70,      -5.504966035,      -5.710361838,      -5.910299175,      -5.365959967,      -11.84420579
          0,           0,          71,       -5.51400544,      -5.719957955,      -5.930110739,      -5.374799774,      -11.84552304
          0,           0,          72,      -5.512865164,      -5.723459793,      -5.940462494,      -5.373690222,      -11.84581716
          0,           0,          73,      -5.506877675,      -5.729740542,      -5.938991097,      -5.367359096,      -11.84463764
          0,           0,          74,      -5.516668754,      -5.742138111,      -5.963586213,      -5.381060536,      -11.84305229
          0,           0,          75,      -5.515624444,      -5.744727067,      -5.979708791,      -5.380996009,      -11.84144805
          0,           0,          76,      -5.521415941,      -5.755840682,      -5.984587961,      -5.389037194,      -11.83932151
          0,           0,          77,      -5.513916248,      -5.759219431,      -5.986097661,      -5.379679283,      -11.83679516
          0,           0,          78,      -5.511386811,      -5.758060227,      -6.005826384,      -5.380201011,      -11.83372523
          0,           0,          79,      -5.527585974,      -5.780855701,      -6.019080714,      -5.401885408,      -11.82941933
          0,           0,          80,      -5.520766435,        -5.7689005,      -6.016737874,      -5.391101638,      -11.82418481
          0,           0,          81,      -5.507235681,      -5.778629337,      -6.018160884,      -5.380629531,      -11.81871264
          0,           0,          82,      -5.527912726,      -5.795364044,      -6.039199514,      -5.408690135,      -11.81241234
          0,           0,          83,      -5.519854442,      -5.776626566,      -6.034983152,      -5.395008266,      -11.80532952
          0,           0,          84,      -5.501536742,      -5.801244378,      -6.015091847,      -5.380753194,      -11.79803694
          0,           0,          85,      -5.532445451,      -5.790559774,      -6.044937604,      -5.414288508,      -11.78914087
          0,           0,          86,      -5.510554749,      -5.795173215,      -6.027446656,      -5.390144885,      -11.78070208
          0,           0,          87,      -5.532735556,      -5.796305665,      -6.039328666,      -5.410202429,        -11.765964
          0,           0,          88,      -5.511125429,       -5.73528134,      -6.023829269,      -5.365676791,      -11.74020093
          0,           0,          89,      -5.511443644,      -5.684379982,      -6.029648999,      -5.327330763,      -11.71874864
          0,           0,          90,      -5.509156213,      -5.709245239,      -6.011451337,      -5.306339224,      -11.71571517
          0,           0,          91,      -5.533743876,      -5.693269042,      -6.023937354,      -5.346390294,      -11.71884869
          0,           0,          92,      -5.537880636,      -5.733119461,      -6.031532534,      -5.390278535,      -11.70784287
          0,           0,          93,      -5.522087009,      -5.587107499,      -6.007180667,      -5.339971436,       -11.7093755
          0,           0,          94,      -5.493667006,      -5.601860275,      -5.906076193,      -5.275885929,      -11.69856382
          0,           0,          95,      -5.541942462,      -5.723613229,      -5.962655324,      -5.399148875,      -11.69638463
          0,           0,          96,      -5.545935471,      -5.753619033,      -5.963414662,      -5.402653793,       -11.6928364
