"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,          54,      -7.580785288,      -7.865874802,      -8.342417221,      -7.116978148,      -9.468139439,      -3.894823463
          0,           0,          55,      -7.580859622,      -7.865936097,      -8.342533654,      -7.117055638,      -9.468189052,      -3.894959921
          0,           0,          56,       -7.58093403,      -7.865997336,      -8.342650286,      -7.117133165,      -9.468238764,      -3.895076101
          0,           0,          57,      -7.581008516,      -7.866058467,       -8.34276711,      -7.117210729,      -9.468288606,       -3.89517504
          0,           0,          58,      -7.581083081,      -7.866119438,      -8.342884099,      -7.117288331,      -9.468338618,      -3.895259532
          0,           0,          59,      -7.581157729,      -7.866180247,      -8.343001225,      -7.117365978,       -9.46838881,      -3.895332237
          0,           0,          60,      -7.581232464,      -7.866240862,      -8.343118479,      -7.117443674,      -9.468439184,      -3.895395522
          0,           0,          61,      -7.581307289,      -7.866301298,      -8.343235824,      -7.117521429,      -9.468489732,      -3.895451536
          0,           0,          62,      -7.581382208,       -7.86636163,      -8.343353179,      -7.117599254,      -9.468540447,      -3.895502203
          0,           0,          63,      -7.581457221,      -7.866421805,      -8.343470468,      -7.117677151,      -9.468591318,      -3.895549115
          0,           0,          64,      -7.581532333,      -7.866481836,      -8.343587618,       -7.11775513,      -9.468642335,      -3.895593694
          0,           0,          65,      -7.581607543,      -7.866541753,      -8.343704571,      -7.117833193,      -9.468693484,      -3.895637038
          0,           0,          66,      -7.581682852,      -7.866601575,      -8.343821286,      -7.117911345,      -9.468744754,      -3.895680044
          0,           0,          67,      -7.581758257,      -7.866661324,       -8.34393773,      -7.117989586,       -9.46879613,      -3.895723401
          0,           0,          68,      -7.581833755,      -7.866721024,      -8.344053892,      -7.118067913,        -9.4688476,      -3.895767575
          0,           0,          69,      -7.581909342,      -7.866780684,      -8.344169773,      -7.118146325,      -9.468899151,      -3.895812881
          0,           0,          70,      -7.581985013,      -7.866840317,      -8.344285386,      -7.118224814,      -9.468950771,      -3.895859466
          0,           0,          71,      -7.582060762,      -7.866899936,      -8.344400761,      -7.118303376,       -9.46900251,       -3.89590739
          0,           0,          72,      -7.582136581,      -7.866959544,      -8.344515938,      -7.118382001,      -9.469054314,      -3.895956628
