"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,      -7.936289052,      -8.097175212,      -8.221716312,      -7.786915194,      -9.463667655,      -3.850379691
          0,           0,           1,      -7.979956253,      -8.143056755,      -8.277563722,      -7.853145293,      -9.477322751,      -3.859292872
          0,           0,           2,      -8.025903463,      -8.159425567,      -8.337253081,      -7.917249975,      -9.496740296,       -3.89253874
          0,           0,           3,      -8.062633489,      -8.168221367,      -8.372463647,       -7.97198964,      -9.513946967,       -3.92457313
          0,           0,           4,      -8.088118249,      -8.174724119,      -8.415078779,       -8.01179397,      -9.528006872,      -3.951339221
          0,           0,           5,       -8.09815047,      -8.183650788,      -8.456577953,      -8.028151688,       -9.54964575,      -3.988221741
          0,           0,           6,       -8.09824156,      -8.194432213,      -8.483621558,      -8.027788602,      -9.570247985,      -4.003903448
          0,           0,           7,      -8.097287549,      -8.203245762,      -8.493763523,      -8.026642328,       -9.59665674,       -4.01047599
          0,           0,           8,      -8.101027244,      -8.206150512,      -8.495511981,      -8.032361597,      -9.629812537,      -3.985936425
          0,           0,           9,      -8.107219735,      -8.206527283,      -8.497875737,      -8.042257314,      -9.664678105,       -3.93338802
          0,           0,          10,      -8.114184537,      -8.208274007,      -8.501994567,      -8.053157487,      -9.696070005,      -3.881457645
          0,           0,          11,      -8.121309727,      -8.212228852,      -8.504568181,      -8.063907215,      -9.726266258,      -3.845737773
          0,           0,          12,      -8.124663971,      -8.215313959,       -8.50592134,      -8.068409499,      -9.741644303,      -3.846172294
          0,           0,          13,      -8.126403856,      -8.217598371,      -8.507344862,      -8.070357656,      -9.770097327,      -3.835915829
          0,           0,          14,      -8.127089723,      -8.219121365,      -8.508709409,      -8.070135202,      -9.775383442,      -3.850705139
          0,           0,          15,       -8.12910418,      -8.221007797,      -8.510063341,        -8.0730412,      -9.812106765,      -3.853996719
          0,           0,          16,      -8.129681967,      -8.221772655,      -8.511396543,      -8.072570299,      -9.821328796,      -3.875692199
          0,           0,          17,      -8.131324108,      -8.223152142,      -8.512078718,      -8.075024252,      -9.857263591,      -3.880850007
          0,           0,          18,      -8.132673358,      -8.223790326,      -8.513610207,      -8.075651217,       -9.86891296,      -3.903222395
          0,           0,          19,       -8.13365852,      -8.224480615,      -8.514156663,      -8.076818322,      -9.898266812,      -3.885683972
          0,           0,          20,      -8.134958583,      -8.224802382,      -8.515313107,       -8.07743528,       -9.90467222,      -3.910791012
          0,           0,          21,      -8.135402925,      -8.224458626,      -8.515679706,      -8.077322403,      -9.928278856,      -3.864210515
