"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -8.214792945,      -8.329302738,       -8.98093595,      -7.781441153,      -12.70898067
          0,           0,           1,      -8.214883396,       -8.32937506,       -8.98084563,       -7.78159574,      -12.70908737
          0,           0,           2,      -8.214971887,      -8.329451209,      -8.980618451,      -7.781740934,      -12.70919267
          0,           0,           3,      -8.215058874,      -8.329530754,      -8.980391472,      -7.781877766,      -12.70929654
          0,           0,           4,      -8.215144733,      -8.329613218,      -8.980234042,      -7.782007007,      -12.70939903
          0,           0,           5,      -8.215229921,      -8.329698126,       -8.98017033,      -7.782129582,      -12.70950016
          0,           0,           6,      -8.215315012,      -8.329785045,      -8.980197054,      -7.782246671,      -12.70960001
          0,           0,           7,      -8.215400661,      -8.329873614,      -8.980296721,      -7.782359648,      -12.70969867
          0,           0,           8,      -8.215487548,      -8.329963566,      -8.980446858,      -7.782469952,      -12.70979625
          0,           0,           9,      -8.215576328,      -8.330054751,      -8.980625842,      -7.782578968,      -12.70989291
          0,           0,          10,      -8.215667583,      -8.330147153,      -8.980816038,      -7.782687935,      -12.70998878
          0,           0,          11,      -8.215761804,      -8.330240897,      -8.981004943,      -7.782797907,      -12.71008407
          0,           0,          12,      -8.215859387,      -8.330336255,      -8.981185027,      -7.782909744,      -12.71017895
          0,           0,          13,      -8.215960642,      -8.330433641,      -8.981352845,      -7.783024142,      -12.71027367
          0,           0,          14,      -8.216065818,      -8.330533589,      -8.981507887,      -7.783141674,      -12.71036844
          0,           0,          15,      -8.216175125,      -8.330636735,      -8.981651455,      -7.783262834,      -12.71046352
          0,           0,          16,      -8.216288769,      -8.330743778,      -8.981785746,      -7.783388085,      -12.71055915
          0,           0,          17,      -8.216406973,      -8.330855441,      -8.981913213,      -7.783517889,      -12.71065562
          0,           0,          18,      -8.216530008,      -8.330972428,      -8.982036189,      -7.783652737,      -12.71075318
          0,           0,          19,      -8.216658207,      -8.331095389,      -8.982156725,      -7.783793159,      -12.71085211
          0,           0,          20,      -8.216791985,       -8.33122488,      -8.982276571,      -7.783939735,      -12.71095267
          0,           0,          21,      -8.216931839,      -8.331361347,      -8.982397237,      -7.784093092,      -12.71105514
          0,           0,          22,       -8.21707835,       -8.33150511,      -8.982520069,      -7.784253889,      -12.71115978
          0,           0,          23,      -8.217232169,      -8.331656363,      -8.982646318,      -7.784422812,      -12.71126684
          0,           0,          24,      -8.217394007,      -8.331815192,      -8.982777183,      -7.784600548,      -12.71137655
          0,           0,          25,      -8.217564608,      -8.331981591,      -8.982913823,      -7.784787773,      -12.71148916
          0,           0,          26,      -8.217744736,      -8.332155492,      -8.983057362,      -7.784985131,      -12.71160488
          0,           0,          27,      -8.217935148,      -8.332336788,      -8.983208896,      -7.785193224,      -12.71172393
          0,           0,          28,      -8.218136585,      -8.332525363,      -8.983369493,      -7.785412603,      -12.71184651
          0,           0,          29,      -8.218349755,      -8.332721103,      -8.983540208,      -7.785643771,      -12.71197286
          0,           0,          30,      -8.218575336,      -8.332923916,      -8.983722097,      -7.785887182,      -12.71210323
          0,           0,          31,      -8.218813969,      -8.333133728,      -8.983916229,      -7.786143258,      -12.71223791
          0,           0,          32,      -8.219066272,      -8.333350484,      -8.984123685,      -7.786412401,      -12.71237726
          0,           0,          33,       -8.21933284,      -8.333574148,      -8.984345546,       -7.78669501,      -12.71252175
          0,           0,          34,      -8.219614261,      -8.333804697,      -8.984582868,      -7.786991504,      -12.71267196
          0,           0,          35,      -8.219911121,      -8.334042129,      -8.984836643,      -7.787302331,      -12.71282865
          0,           0,          36,      -8.220224004,      -8.334286479,      -8.985107751,      -7.787627987,      -12.71299273
          0,           0,          37,      -8.220553496,      -8.334537846,      -8.985396898,      -7.787969015,      -12.71316526
          0,           0,          38,      -8.220900183,      -8.334796436,      -8.985704569,      -7.788326019,      -12.71334739
          0,           0,          39,      -8.221264642,      -8.335062604,      -8.986030984,      -7.788699652,      -12.71354038
          0,           0,          40,      -8.221647427,      -8.335336901,      -8.986376097,      -7.789090603,      -12.71374545
          0,           0,          41,      -8.222049075,      -8.335620111,      -8.986739624,      -7.789499596,      -12.71396378
          0,           0,          42,      -8.222470097,      -8.335913269,      -8.987121139,      -7.789927376,      -12.71419634
          0,           0,          43,      -8.222910997,      -8.336217642,      -8.987520198,      -7.790374716,      -12.71444391
          0,           0,          44,      -8.223372299,      -8.336534749,      -8.987936451,      -7.790842439,      -12.71470698
          0,           0,          45,      -8.223854556,      -8.336866264,       -8.98837001,      -7.791331397,      -12.71498585
          0,           0,          46,      -8.224358407,      -8.337214006,      -8.988821474,      -7.791842534,      -12.71528063
          0,           0,          47,       -8.22488464,      -8.337579931,      -8.989291779,      -7.792376988,      -12.71559136
          0,           0,          48,      -8.225434207,       -8.33796608,      -8.989782462,      -7.792936067,      -12.71591809
          0,           0,          49,      -8.226008236,      -8.338374572,      -8.990295692,      -7.793521259,      -12.71626094
          0,           0,          50,      -8.226608096,      -8.338807667,      -8.990833618,       -7.79413436,      -12.71662013
