"Mach,""Pressure"",""Points:0"",""Points:1"",""Points:2"""
1.1066,0.55698,1.4,0.03322,0
1.1064,0.5571,1.4,0.03344,0
1.1062,0.5572,1.4,0.03366,0
1.1061,0.55731,1.4,0.03388,0
1.1059,0.55741,1.4,0.0341,0
1.1057,0.55752,1.4,0.03432,0
1.1056,0.55762,1.4,0.03454,0
1.1054,0.55773,1.4,0.03476,0
1.1052,0.55783,1.4,0.03498,0
1.105,0.55794,1.4,0.0352,0
1.1049,0.55804,1.4,0.03542,0
1.1047,0.55815,1.4,0.03564,0
1.1045,0.55825,1.4,0.03586,0
1.1044,0.55835,1.4,0.03608,0
1.1042,0.55846,1.4,0.0363,0
1.104,0.55856,1.4,0.03652,0
1.1038,0.55867,1.4,0.03674,0
1.1037,0.55875,1.4,0.03696,0
1.1035,0.55884,1.4,0.03718,0
1.1034,0.55892,1.4,0.0374,0
1.1032,0.55901,1.4,0.03762,0
1.1031,0.55909,1.4,0.03784,0
1.1029,0.55918,1.4,0.03806,0
1.1027,0.55926,1.4,0.03828,0
1.1026,0.55935,1.4,0.0385,0
1.1024,0.55943,1.4,0.03872,0
1.1023,0.55952,1.4,0.03894,0
1.1021,0.5596,1.4,0.03916,0
1.1019,0.55969,1.4,0.03938,0
1.1018,0.55977,1.4,0.0396,0
1.1016,0.55986,1.4,0.03982,0
1.1015,0.55994,1.4,0.04004,0
1.1013,0.56003,1.4,0.04026,0
1.1011,0.56011,1.4,0.04048,0
1.101,0.56017,1.4,0.0407,0
1.1008,0.56024,1.4,0.04092,0
1.1006,0.56031,1.4,0.04114,0
1.1004,0.56037,1.4,0.04136,0
1.1003,0.56044,1.4,0.04158,0
1.1001,0.56051,1.4,0.0418,0
1.0999,0.56057,1.4,0.04202,0
1.0998,0.56064,1.4,0.04224,0
1.0996,0.56071,1.4,0.04246,0
1.0994,0.56077,1.4,0.04268,0
1.0992,0.56084,1.4,0.0429,0
1.0991,0.56091,1.4,0.04312,0
1.0989,0.56097,1.4,0.04334,0
1.0987,0.56104,1.4,0.04356,0
1.0986,0.56111,1.4,0.04378,0
1.0984,0.56117,1.4,0.044,0
1.0982,0.56124,1.4,0.04422,0
1.098,0.56131,1.4,0.04444,0
1.0979,0.56135,1.4,0.04466,0
1.0978,0.5614,1.4,0.04488,0
1.0976,0.56144,1.4,0.0451,0
1.0975,0.56148,1.4,0.04532,0
1.0973,0.56153,1.4,0.04554,0
1.0972,0.56157,1.4,0.04576,0
1.0971,0.56161,1.4,0.04598,0
1.0969,0.56165,1.4,0.0462,0
1.0968,0.5617,1.4,0.04642,0
1.0966,0.56174,1.4,0.04664,0
1.0965,0.56178,1.4,0.04686,0
1.0964,0.56183,1.4,0.04708,0
1.0962,0.56187,1.4,0.0473,0
1.0961,0.56191,1.4,0.04752,0
1.0959,0.56196,1.4,0.04774,0
1.0958,0.562,1.4,0.04796,0
1.0957,0.56204,1.4,0.04818,0
1.0955,0.56208,1.4,0.0484,0
1.0954,0.56213,1.4,0.04862,0
1.0952,0.56217,1.4,0.04884,0
1.0951,0.56222,1.4,0.04906,0
1.0951,0.56227,1.4,0.04928,0
1.0951,0.56232,1.4,0.0495,0
1.095,0.56236,1.4,0.04972,0
1.095,0.56241,1.4,0.04994,0
1.095,0.56246,1.4,0.05016,0
1.0949,0.56251,1.4,0.05038,0
1.0949,0.56256,1.4,0.0506,0
1.0948,0.56261,1.4,0.05082,0
1.0948,0.56266,1.4,0.05104,0
1.0948,0.56271,1.4,0.05126,0
1.0947,0.56275,1.4,0.05148,0
1.0947,0.56278,1.4,0.0517,0
1.0947,0.5628,1.4,0.05192,0
1.0946,0.56283,1.4,0.05214,0
1.0946,0.56286,1.4,0.05236,0
1.0946,0.56288,1.4,0.05258,0
1.0946,0.56291,1.4,0.0528,0
1.0945,0.56294,1.4,0.05302,0
1.0945,0.56296,1.4,0.05324,0
1.0945,0.56299,1.4,0.05346,0
1.0945,0.56302,1.4,0.05368,0
1.0944,0.56304,1.4,0.0539,0
1.0944,0.56307,1.4,0.05412,0
1.0944,0.56309,1.4,0.05434,0
1.0944,0.56311,1.4,0.05456,0
1.0944,0.56314,1.4,0.05478,0
1.0943,0.56316,1.4,0.055,0
1.0943,0.56319,1.4,0.05522,0
1.0943,0.56321,1.4,0.05544,0
1.0943,0.56323,1.4,0.05566,0
1.0942,0.56326,1.4,0.05588,0
1.0942,0.56328,1.4,0.0561,0
1.0942,0.56331,1.4,0.05632,0
1.0942,0.56333,1.4,0.05654,0
1.0942,0.56334,1.4,0.05676,0
1.0941,0.56336,1.4,0.05698,0
1.0941,0.56338,1.4,0.0572,0
1.0941,0.5634,1.4,0.05742,0
1.0941,0.56342,1.4,0.05764,0
1.094,0.56344,1.4,0.05786,0
1.094,0.56345,1.4,0.05808,0
1.094,0.56347,1.4,0.0583,0
1.094,0.56349,1.4,0.05852,0
1.094,0.56351,1.4,0.05874,0
1.0939,0.56352,1.4,0.05896,0
1.0939,0.56353,1.4,0.05918,0
1.0939,0.56354,1.4,0.0594,0
1.0939,0.56356,1.4,0.05962,0
1.0939,0.56357,1.4,0.05984,0
1.0939,0.56358,1.4,0.06006,0
1.0938,0.56359,1.4,0.06028,0
1.0938,0.5636,1.4,0.0605,0
1.0938,0.56361,1.4,0.06072,0
1.0938,0.56362,1.4,0.06094,0
1.0938,0.56363,1.4,0.06116,0
1.0938,0.56364,1.4,0.06138,0
1.0937,0.56364,1.4,0.0616,0
1.0937,0.56364,1.4,0.06182,0
1.0937,0.56365,1.4,0.06204,0
1.0937,0.56365,1.4,0.06226,0
1.0937,0.56366,1.4,0.06248,0
1.0937,0.56366,1.4,0.0627,0
1.0937,0.56366,1.4,0.06292,0
1.0937,0.56367,1.4,0.06314,0
1.0937,0.56367,1.4,0.06336,0
1.0937,0.56367,1.4,0.06358,0
